name	traceId	time	duration
reductionTest.reduceBlock	KHdNyEdG	1422467610151157	115368
reductionTest.reduceBlock	KHdNyEdG	1422467610151493	132559
reductionTest.reduceBlock	KHdNyEdG	1422467610151847	129477
reductionTest.reduceBlock	KHdNyEdG	1422467610152199	115557
reductionTest.reduceBlock	KHdNyEdG	1422467610152577	116389
reductionTest.reduceBlock	KHdNyEdG	1422467610152914	113522
reductionTest.reduceBlock	KHdNyEdG	1422467610153248	124672
reductionTest.reduceBlock	KHdNyEdG	1422467610153594	114494
reductionTest.reduceBlock	KHdNyEdG	1422467610153945	117146
reductionTest.reduceBlock	KHdNyEdG	1422467610154299	130583
reductionTest.reduceBlock	KHdNyEdG	1422467610154653	115345
reductionTest.reduceBlock	KHdNyEdG	1422467610155003	115880
reductionTest.reduceBlock	KHdNyEdG	1422467610155341	129257
reductionTest.reduceBlock	KHdNyEdG	1422467610155691	130635
reductionTest.reduceBlock	KHdNyEdG	1422467610156043	115325
reductionTest.reduceBlock	KHdNyEdG	1422467610156395	136470
reductionTest.reduceBlock	KHdNyEdG	1422467610156754	115571
reductionTest.reduceBlock	KHdNyEdG	1422467610157093	115716
reductionTest.reduceBlock	KHdNyEdG	1422467610157444	116649
reductionTest.reduceBlock	KHdNyEdG	1422467610157781	115050
reductionTest.reduceBlock	KHdNyEdG	1422467610158116	116938
reductionTest.reduceBlock	KHdNyEdG	1422467610158469	115172
reductionTest.reduceBlock	KHdNyEdG	1422467610158819	117283
reductionTest.reduceBlock	KHdNyEdG	1422467610159159	116001
reductionTest.reduceBlock	KHdNyEdG	1422467610159497	116410
reductionTest.reduceBlock	KHdNyEdG	1422467610159835	116141
reductionTest.reduceBlock	KHdNyEdG	1422467610160196	114593
reductionTest.reduceBlock	KHdNyEdG	1422467610160545	116720
reductionTest.reduceBlock	KHdNyEdG	1422467610160961	116331
reductionTest.reduceBlock	KHdNyEdG	1422467610161298	116250
reductionTest.reduceBlock	KHdNyEdG	1422467610161650	116311
reductionTest.reduceBlock	KHdNyEdG	1422467610161989	116548
reductionTest.reduceBlock	KHdNyEdG	1422467610162341	116281
reductionTest.reduceBlock	KHdNyEdG	1422467610162693	116641
reductionTest.reduceBlock	KHdNyEdG	1422467610163031	116946
reductionTest.reduceBlock	KHdNyEdG	1422467610163369	116286
reductionTest.reduceBlock	KHdNyEdG	1422467610163705	115199
reductionTest.reduceBlock	KHdNyEdG	1422467610164046	113731
reductionTest.reduceBlock	KHdNyEdG	1422467610164387	121742
reductionTest.reduceBlock	KHdNyEdG	1422467610164733	116650
reductionTest.reduceBlock	KHdNyEdG	1422467610165071	116221
reductionTest.reduceBlock	KHdNyEdG	1422467610165424	115847
reductionTest.reduceBlock	KHdNyEdG	1422467610165762	130557
reductionTest.reduceBlock	KHdNyEdG	1422467610166127	115852
reductionTest.reduceBlock	KHdNyEdG	1422467610166466	140075
reductionTest.reduceBlock	KHdNyEdG	1422467610166828	128631
reductionTest.reduceBlock	KHdNyEdG	1422467610167178	115865
reductionTest.reduceBlock	KHdNyEdG	1422467610167515	116757
reductionTest.reduceBlock	KHdNyEdG	1422467610167853	115158
reductionTest.reduceBlock	KHdNyEdG	1422467610168190	130122
reductionTest.reduceBlock	KHdNyEdG	1422467610168548	116518
reductionTest.reduceBlock	KHdNyEdG	1422467610168887	116405
